filename,backup_filename,datetime,operation
"cybokron-consent-manager-translations-yootheme.php","cybokron-consent-manager-translations-yootheme_v1_20260331_131303.php","2026-03-31 13:13:03","Edit (string replacement)"
"cybokron-consent-manager-translations-yootheme.php","cybokron-consent-manager-translations-yootheme_v2_20260331_131313.php","2026-03-31 13:13:13","Edit (string replacement)"
